,sender prefixes,nb of bytes,% of traffic (bytes)
3203,189.113.0.0,174581094,0.005461426540734684
2383,169.101.0.0,173207570,0.005418458540843836
2413,54.86.0.0,172638918,0.005400669380207451
2767,31.121.0.0,172030791,0.005381645321749338
3493,106.100.0.0,171902569,0.005377634148386511
6757,10.108.0.0,171775425,0.005373656698135825
17065,106.171.0.0,171765254,0.005373338518382949
125,213.127.0.0,171630920,0.005369136143107863
3334,16.173.0.0,170485001,0.005333288318485271
3937,31.89.0.0,170260295,0.005326258832736589
2209,24.159.0.0,170158453,0.005323072905847155
77,197.50.0.0,169331610,0.005297206747022301
4497,111.193.0.0,167797708,0.005249221636482863
15267,193.76.0.0,167760841,0.005248068324817413
1156,54.249.0.0,167272132,0.005232780023878619
68,129.186.0.0,165424820,0.0051749904972199215
6338,98.249.0.0,164458764,0.00514476933319035
8529,5.233.0.0,163369117,0.0051106818675348085
2170,121.0.0.0,162231019,0.005075078707531944
3260,198.209.0.0,162151956,0.0050726053769054895
2781,165.160.0.0,161273820,0.005045134617346757
1107,31.106.0.0,161007164,0.005036792808263774
5868,219.119.0.0,159440514,0.004987783240881627
3546,110.0.0.0,159359660,0.004985253882338802
25276,31.4.0.0,159221724,0.004980938825570268
4194,103.194.0.0,159050645,0.004975586955160049
2630,199.129.0.0,158856505,0.004969513666670871
8137,197.4.0.0,158366089,0.004954171965590679
2166,109.89.0.0,157441661,0.004925253051758015
2743,169.59.0.0,156484774,0.004895318721879866
2832,46.142.0.0,154464376,0.0048321145397589365
35,125.81.0.0,153846146,0.004812774428794352
128,31.83.0.0,153771880,0.004810451162888628
24031,211.41.0.0,153060186,0.004788187214305046
2315,35.79.0.0,152967302,0.004785281520846568
2301,77.99.0.0,151479287,0.004738731894951731
14602,62.64.0.0,151232162,0.004731001074832807
2813,213.132.0.0,150853886,0.004719167453340419
2115,103.186.0.0,150151031,0.0046971800155065834
20054,108.202.0.0,149089441,0.004663970257974771
3314,213.195.0.0,148994598,0.00466100328104998
2023,199.192.0.0,148830941,0.0046558835933283695
13851,98.57.0.0,148830012,0.004655854531388499
25411,107.109.0.0,148478386,0.004644854602789058
3809,104.82.0.0,148185972,0.004635707005280691
6852,141.243.0.0,147838648,0.0046248416562994655
3883,132.212.0.0,147729136,0.004621415788528645
4371,158.64.0.0,146899436,0.004595460254071704
6908,146.186.0.0,146402000,0.0045798989460831266
2512,197.137.0.0,146343112,0.004578056750695516
21742,110.238.0.0,146275806,0.004575951214716055
2346,126.45.0.0,145960927,0.004566100843817818
3910,212.5.0.0,145180491,0.004541686436815964
12577,100.168.0.0,143472261,0.004488247817284349
6677,111.214.0.0,140895012,0.004407623645627584
2590,100.249.0.0,140366120,0.00439107829847801
5329,212.44.0.0,140181254,0.004385295128858971
13141,96.127.0.0,137339325,0.00429639096339714
1209,54.231.0.0,136259774,0.00426261933126682
2045,50.60.0.0,134200002,0.0041981834109107346
4319,198.74.0.0,133092418,0.004163534821449535
6864,204.82.0.0,133085825,0.004163328572397258
2628,198.208.0.0,132783481,0.004153870334347542
3925,136.204.0.0,132618708,0.004148715734758445
4219,62.46.0.0,132284950,0.0041382747714352195
12308,16.222.0.0,131180260,0.004103716715078418
15601,77.174.0.0,130984692,0.004097598754414714
1184,222.203.0.0,130535017,0.004083531555479044
8102,5.198.0.0,129686452,0.00405698586655961
12991,110.18.0.0,127819064,0.0039985683016825705
2694,54.169.0.0,126708052,0.0039638124739760795
5029,46.113.0.0,126689437,0.0039632301402724324
7063,198.80.0.0,126388564,0.003953817919567764
2283,212.92.0.0,126079358,0.003944145017329252
10256,99.122.0.0,125655660,0.003930890457803716
15901,46.203.0.0,125500705,0.003926042995056006
2116,181.191.0.0,124961939,0.003909188759215064
5844,103.211.0.0,124497512,0.003894660072941431
5936,178.21.0.0,124492036,0.003894488767039676
5859,111.140.0.0,123956767,0.0038777439279734675
14838,77.25.0.0,123333470,0.0038582453058686
2922,52.101.0.0,123295461,0.0038570562689767434
8209,205.42.0.0,122586655,0.0038348826657993453
4550,203.106.0.0,120676214,0.0037751182723999794
2644,103.177.0.0,120045355,0.003755383087981549
12621,60.236.0.0,119333100,0.0037331015896151167
2003,46.123.0.0,118669068,0.0037123286530639393
3909,212.18.0.0,118322168,0.003701476568089716
1946,122.202.0.0,117666232,0.003680956898992996
2968,96.125.0.0,117406008,0.0036728163023935947
6792,219.20.0.0,117132479,0.0036642594850084284
2063,198.91.0.0,117043576,0.0036614783293138094
2456,165.183.0.0,116719955,0.0036513544821202572
19112,114.109.0.0,116620782,0.003648252049652259
14482,24.43.0.0,116609676,0.0036479046202612998
12682,123.140.0.0,116590854,0.003647315810969329
27835,68.42.0.0,115735866,0.003620569191113632
2392,65.107.0.0,115607337,0.0036165484138589417
2122,213.28.0.0,114553954,0.0035835953961985147
2314,54.68.0.0,114426796,0.003579617507985334
2306,106.61.0.0,114222061,0.003573212775736278
2181,24.231.0.0,114178032,0.0035718354149714172
1202,54.252.0.0,113777314,0.0035592997395989734
1401,63.12.0.0,113737646,0.0035580588041514167
12123,112.233.0.0,113539666,0.00355186538880637
10364,213.135.0.0,113218062,0.003541804639495185
2936,107.167.0.0,113210343,0.0035415631657450667
1979,100.233.0.0,113190573,0.0035409447001355527
2615,219.160.0.0,112967266,0.0035339589793533708
5843,186.245.0.0,112362816,0.003515049948616359
20835,100.173.0.0,112190618,0.0035096630724895466
2203,54.248.0.0,111746128,0.003495758076092336
62,213.251.0.0,111675319,0.0034935429556399293
4324,199.200.0.0,111250126,0.003480241627976496
22573,178.8.0.0,111132788,0.0034765709391707733
2223,31.117.0.0,110997833,0.0034723491371307148
2551,24.154.0.0,110683399,0.0034625126871832227
1952,110.203.0.0,110390954,0.003453364119900759
2514,219.23.0.0,110265828,0.003449449798815476
7571,33.130.0.0,109714872,0.003432214222773221
271,187.173.0.0,109081951,0.0034124145327358315
1141,73.156.0.0,109011856,0.0034102217483706885
