,sp,ibyt
42693,49699,39774088
48869,55875,39772040
42709,49715,39704978
45256,52262,39607195
47036,54042,39556544
34733,41515,39438824
43840,50846,39399942
666,1657,39355133
42624,49630,39320251
42623,49629,39319412
41487,48465,39258002
33366,40095,39249392
47930,54936,39202745
26428,32927,39177940
7300,9339,39170316
29985,36603,39129239
44978,51984,39106970
27971,34512,39086619
46028,53034,39068856
4096,5313,39040594
45437,52443,38940313
6622,8474,38903463
49999,57006,38826499
46648,53654,38766934
47510,54516,38729171
54893,61900,38725227
32046,38733,38710067
58911,6100,38677790
48240,55246,38657785
42978,49984,38591006
43425,50431,38521511
44011,51017,38470582
48648,55654,38412492
63416,36881,38398449
58089,65096,38374965
45140,52146,38371408
44346,51352,38238881
49309,56315,38144231
42177,49183,38134737
48336,55342,38105351
43973,50979,38062954
30895,37555,38060198
27933,34472,38009775
46555,53561,37888857
43304,50310,37743661
50637,57644,37649580
42622,49628,37611063
44679,51685,37431455
45771,52777,37428310
6969,8917,37389786
42619,49625,37370957
24114,30088,37268286
47569,54575,37213889
42481,49487,37212594
55348,62355,37209296
44378,51384,37184845
29444,36035,37182118
41,639,37163902
52632,59639,37163822
42317,49323,37112845
43363,50369,37106643
51127,58134,37051171
9729,12350,37031774
47440,54446,36939957
44086,51092,36817371
45686,52692,36814269
42588,49594,36805505
7792,9956,36714772
45243,52249,36706094
54414,61421,36695718
58655,3094,36661836
37890,44760,36627246
47568,54574,36618956
43430,50436,36611279
49147,56153,36598728
17592,22000,36570294
4639,6000,36546582
13248,16705,36496820
41773,48765,36474299
45479,52485,36457681
49397,56403,36396737
42520,49526,36383294
42876,49882,36276267
24061,30021,36257541
50996,58003,36246662
43180,50186,36235158
56272,63279,36224542
52224,59231,36195597
56847,63854,36189544
2655,3782,36165347
49197,56203,36117658
42813,49819,36113150
29569,36164,36110831
30217,36843,36096549
49333,56339,36084525
54812,61819,36066553
55197,62204,35985544
61634,22975,35968332
52968,59975,35958052
62844,30091,35856414
44416,51422,35848174
4550,5874,35839774
42284,49290,35816830
62839,30062,35808495
25324,31563,35801109
24081,30047,35797747
24052,30012,35796616
36765,43603,35793092
43500,50506,35753906
61547,22403,35752058
26723,33231,35733072
48660,55666,35697575
3927,5129,35683564
40853,47816,35672631
57961,64968,35654451
24111,30085,35649774
43768,50774,35641856
49549,56555,35624982
24070,30034,35612675
47438,54444,35561583
42695,49701,35556848
43793,50799,35542822
38601,45490,35470344
62842,30074,35468921
32542,39237,35465365
27257,33775,35452048
45269,52275,35444589
46898,53904,35435392
52233,59240,35429463
45227,52233,35377281
24084,30051,35377254
48069,55075,35370769
45640,52646,35327340
60312,14543,35315630
42582,49588,35315131
46894,53900,35277227
53477,60484,35267827
24099,30071,35241671
43501,50507,35215045
43284,50290,35212831
26792,33301,35196168
52492,59499,35188304
42240,49246,35169511
62714,29372,35158430
12689,16010,35116235
46476,53482,35110138
24054,30014,35067163
10226,12938,35059643
44034,51040,35002735
45410,52416,34972790
24077,30042,34963350
60623,16436,34946276
54205,61212,34905933
65434,473,34888172
42247,49253,34856852
31304,37973,34817325
44325,51331,34806354
44710,51716,34799695
47527,54533,34797293
44542,51548,34731610
42264,49270,34728082
54208,61215,34646127
44559,51565,34638993
44365,51371,34631976
46269,53275,34630260
45464,52470,34597283
46590,53596,34592548
44264,51270,34518588
44811,51817,34504692
26447,32948,34460963
24064,30025,34454026
13518,17043,34452849
24053,30013,34428551
42452,49458,34416152
42324,49330,34381025
42694,49700,34354025
42218,49224,34336131
32214,38905,34318101
42195,49201,34195595
48997,56003,34155489
45498,52504,34147031
56981,63988,34121564
15805,19824,34093092
17183,21497,34038696
54,1024,34003162
46046,53052,33984278
5179,6690,33951412
28918,35489,33950367
42228,49234,33912523
45245,52251,33894553
52920,59927,33890476
24118,30093,33852215
23955,29889,33849560
24112,30086,33835413
52640,59647,33806217
34249,41016,33767966
14632,18412,33751022
24059,30019,33748600
24097,30069,33744553
49658,56664,33702741
17594,22002,33640205
10786,13615,33608696
46091,53097,33595097
46613,53619,33583353
41015,47979,33550125
46090,53096,33538480
42790,49796,33517429
5105,6599,33452765
44649,51655,33423576
15818,19840,33383139
42977,49983,33334901
48055,55061,33309197
46948,53954,33308933
11697,14771,33285045
54732,61739,33269916
45608,52614,33257031
49530,56536,33227174
46460,53466,33182178
45,723,33181950
8851,11246,33167227
42488,49494,33151316
36875,43720,33128525
62657,29060,33117567
36340,43166,33100953
23841,29749,33070162
45356,52362,33062591
57210,64217,33039622
45702,52708,33021459
13879,17495,33016105
18664,23275,33006131
61223,20272,32975573
49544,56550,32947465
61053,18998,32941693
49903,56910,32934664
43510,50516,32916694
11411,14411,32903464
